state,state_code,region,millimetres,days,centimetres,morning,afternoon,%_sun,total_hours,clear_days,avg_c,home_value
Alabama,AL,South,1480.0,0.8,4.1,84.0,52.0,58.0,2641.0,99.0,17.1,86.41947005867989
Arkansas,AR,South,1284.0,3.8,13.2,85.0,49.0,61.0,2771.0,123.0,15.8,74.79336470588235
Connecticut,CT,Northeast,1279.0,20.1,102.9,79.0,52.0,56.0,2585.0,82.0,9.4,230.99093662521224
Florida,FL,South,1385.0,0.0,0.0,87.0,57.0,66.0,2927.0,101.0,21.5,320.2729498164015
Georgia,GA,South,1287.0,0.7,1.8,86.0,50.0,66.0,2986.0,112.0,17.5,119.66539437880088
Kentucky,KY,South,1242.0,11.8,31.8,79.0,55.0,56.0,2514.0,93.0,13.1,79.53584095854073
Louisiana,LA,South,1528.0,0.1,0.0,87.0,61.0,57.0,2649.0,101.0,19.1,210.48913329718843
Massachusetts,MA,Northeast,1211.0,22.4,111.3,75.0,59.0,58.0,2634.0,98.0,8.8,285.8958460239599
Maryland,MD,South,1131.0,9.6,51.3,77.0,52.0,57.0,2582.0,105.0,12.3,267.58246016813104
Maine,ME,Northeast,1072.0,27.8,157.0,82.0,61.0,57.0,2513.0,101.0,5.0,320.39800850302083
Mississippi,MS,South,1499.0,0.6,2.3,91.0,54.0,61.0,2720.0,111.0,17.4,98.97071289109005
North Carolina,NC,South,1279.0,3.9,19.3,83.0,52.0,60.0,2651.0,109.0,15.0,132.39677382645803
New Hampshire,NH,Northeast,1103.0,29.8,154.4,84.0,53.0,54.0,2519.0,90.0,6.6,165.1145604293221
New Jersey,NJ,Northeast,1196.0,8.7,41.9,83.0,59.0,56.0,2499.0,94.0,11.5,673.79874619286
New York,NY,Northeast,1062.0,66.4,314.5,82.0,61.0,46.0,2120.0,63.0,7.4,394.87047171265607
Oklahoma,OK,South,927.0,5.6,19.8,79.0,48.0,68.0,3089.0,139.0,15.3,73.48826284778612
Pennsylvania,PA,Northeast,1089.0,19.4,71.6,77.0,54.0,58.0,2614.0,87.0,9.3,201.20680766420395
Rhode Island,RI,Northeast,1218.0,18.7,85.9,78.0,57.0,58.0,2606.0,98.0,10.1,362.6625070901872
South Carolina,SC,South,1264.0,0.3,1.3,86.0,49.0,64.0,2826.0,115.0,16.9,208.7658745410929
Tennessee,TN,South,1376.0,6.2,16.0,84.0,53.0,56.0,2510.0,102.0,14.2,92.84651647547659
Texas,TX,South,734.0,1.3,3.8,82.0,49.0,61.0,2850.0,135.0,18.2,185.56316182413457
Virginia,VA,South,1125.0,6.1,26.2,84.0,52.0,63.0,2829.0,100.0,12.8,272.76745146633624
Vermont,VT,Northeast,1085.0,54.4,206.2,77.0,58.0,49.0,2295.0,58.0,6.1,193.9512715245238
